P_R_gene	speed
ENSMUSG00000025902	FALSE	0
ENSMUSG00000033845	FALSE	0
ENSMUSG00000025903	FALSE	0
ENSMUSG00000104217	FALSE	0
ENSMUSG00000033813	FALSE	0
ENSMUSG00000002459	FALSE	0
ENSMUSG00000033793	FALSE	0
ENSMUSG00000025907	TRUE	1.05083908789627
ENSMUSG00000051285	TRUE	1.05822595958226
ENSMUSG00000025909	FALSE	0
ENSMUSG00000025911	FALSE	0
ENSMUSG00000025912	TRUE	1.30238489243648
ENSMUSG00000045210	FALSE	0
ENSMUSG00000025915	TRUE	3.35602868668758
ENSMUSG00000025917	FALSE	0
ENSMUSG00000056763	TRUE	1.67681639496366
ENSMUSG00000067851	TRUE	1.47070923306031
ENSMUSG00000016918	TRUE	1.96978250158373
ENSMUSG00000042414	FALSE	0
ENSMUSG00000005886	TRUE	2.36725812870152
ENSMUSG00000025935	TRUE	0.832432432432433
ENSMUSG00000025937	TRUE	0.684238026124818
ENSMUSG00000025925	FALSE	0
ENSMUSG00000025921	TRUE	0.611096225076838
ENSMUSG00000025920	TRUE	2.8642878034513
ENSMUSG00000025939	TRUE	1.17176373598063
ENSMUSG00000079658	FALSE	0
ENSMUSG00000025940	FALSE	0
ENSMUSG00000042686	TRUE	1.15744205207391
ENSMUSG00000041872	FALSE	0
ENSMUSG00000041859	FALSE	0
ENSMUSG00000025931	TRUE	1.20308023404398
ENSMUSG00000041779	TRUE	1.81348581044902
ENSMUSG00000025933	TRUE	1.33333333333333
ENSMUSG00000026158	TRUE	1.35713658322354
ENSMUSG00000026155	TRUE	2.15048489768018
ENSMUSG00000026154	FALSE	0
ENSMUSG00000026153	TRUE	1.6314308009063
ENSMUSG00000073725	TRUE	1.79372104146115
ENSMUSG00000048874	FALSE	0
ENSMUSG00000026064	FALSE	0
ENSMUSG00000026134	TRUE	2.57939701596465
ENSMUSG00000004768	TRUE	0.447159320349144
ENSMUSG00000042215	FALSE	0
ENSMUSG00000042197	TRUE	0.394809543742151
ENSMUSG00000042182	FALSE	0
ENSMUSG00000026131	TRUE	2.25119772434025
ENSMUSG00000103888	TRUE	2.25119772434025
ENSMUSG00000103405	FALSE	0
ENSMUSG00000026127	FALSE	0
ENSMUSG00000037509	TRUE	0.227457098284092
ENSMUSG00000037503	TRUE	0.713054772853447
ENSMUSG00000026123	FALSE	0
ENSMUSG00000045216	FALSE	0
ENSMUSG00000037470	TRUE	1.4816256895514
ENSMUSG00000037447	TRUE	0.579248956884562
ENSMUSG00000010453	TRUE	0.81211543047937
ENSMUSG00000001143	TRUE	0.520521255060729
ENSMUSG00000037408	TRUE	2.22643210663008
ENSMUSG00000001138	TRUE	0.47745745590178
ENSMUSG00000067653	FALSE	0
ENSMUSG00000103661	FALSE	0
ENSMUSG00000079610	TRUE	1.04121283485428
ENSMUSG00000026121	FALSE	0
ENSMUSG00000046337	TRUE	1.96211476654567
ENSMUSG00000037351	TRUE	0.31206840567161
ENSMUSG00000026117	FALSE	0
ENSMUSG00000026116	FALSE	0
ENSMUSG00000026114	TRUE	0.307241621748329
ENSMUSG00000026113	FALSE	0
ENSMUSG00000026112	FALSE	0
ENSMUSG00000026111	FALSE	0
ENSMUSG00000026110	TRUE	2.17687660226107
ENSMUSG00000037216	TRUE	0.377777777777778
ENSMUSG00000026088	TRUE	0.567758546702904
ENSMUSG00000026087	FALSE	0
ENSMUSG00000058407	FALSE	0
ENSMUSG00000026083	FALSE	0
ENSMUSG00000026082	FALSE	0
ENSMUSG00000037138	TRUE	2.49546672441894
ENSMUSG00000048814	FALSE	0
ENSMUSG00000026080	TRUE	2.39250630022348
ENSMUSG00000026078	FALSE	0
ENSMUSG00000073702	FALSE	0
ENSMUSG00000003134	TRUE	2.07905127439038
ENSMUSG00000003135	TRUE	0.508281888879981
ENSMUSG00000048234	TRUE	1.21081081081081
ENSMUSG00000026074	FALSE	0
ENSMUSG00000041945	FALSE	0
ENSMUSG00000060679	TRUE	1.21940203282439
ENSMUSG00000070939	TRUE	1.26373380447585
ENSMUSG00000010290	TRUE	0.753896103896104
ENSMUSG00000066877	TRUE	2.32336685488821
ENSMUSG00000057363	TRUE	1.7813733389317
ENSMUSG00000041763	FALSE	0
ENSMUSG00000026049	FALSE	0
ENSMUSG00000026047	TRUE	0.547403685092127
ENSMUSG00000041684	TRUE	1.17422081769702
ENSMUSG00000026048	TRUE	2.83015579614471
ENSMUSG00000025995	FALSE	0
ENSMUSG00000025986	FALSE	0
ENSMUSG00000026107	TRUE	0.517714068729827
ENSMUSG00000018417	TRUE	2.50861926595537
ENSMUSG00000026104	FALSE	0
ENSMUSG00000026103	TRUE	1.20581780315678
ENSMUSG00000002881	TRUE	1.85217391304348
ENSMUSG00000043015	TRUE	0.707255967856299
ENSMUSG00000026102	FALSE	0
ENSMUSG00000041426	TRUE	1.84544556086312
ENSMUSG00000043629	TRUE	1.80929927963325
ENSMUSG00000060715	FALSE	0
ENSMUSG00000026098	TRUE	1.54777909904869
ENSMUSG00000026097	TRUE	0.6
ENSMUSG00000100679	TRUE	0.677714285714286
ENSMUSG00000026096	TRUE	0.82512077294686
ENSMUSG00000099913	TRUE	0.322222222222222
ENSMUSG00000026095	TRUE	0.322222222222222
ENSMUSG00000026094	TRUE	1.42162162162162
ENSMUSG00000025983	TRUE	1
ENSMUSG00000041303	TRUE	2.42873265929932
ENSMUSG00000073678	TRUE	1.84304915497428
ENSMUSG00000025982	FALSE	0
ENSMUSG00000025981	TRUE	0.333333333333333
ENSMUSG00000025980	FALSE	0
ENSMUSG00000025979	TRUE	1.03783783783784
ENSMUSG00000046994	TRUE	0.333333333333333
ENSMUSG00000038331	TRUE	6.61422206553115
ENSMUSG00000038323	FALSE	0
