location	Abundance	Sample
asRNA	0.206101908726294	SL_rep1
conRNA	0.0560360636938076	SL_rep1
daRNA	0.0101695844865461	SL_rep1
intergenic	1.72034786336642	SL_rep1
mRNA	94.9229969479843	SL_rep1
uaRNA	0.14726070157382	SL_rep1
asRNA	0.171800997624605	SL_rep2
conRNA	0.0540636816468876	SL_rep2
daRNA	0.0177486308344518	SL_rep2
intergenic	1.7382380428794	SL_rep2
mRNA	95.6030805258523	SL_rep2
uaRNA	0.142080575330841	SL_rep2
asRNA	0.213077930533027	SL_rep3
conRNA	0.044144833599686	SL_rep3
daRNA	0.013251794023762	SL_rep3
intergenic	1.5142923087879	SL_rep3
mRNA	96.333079220616	SL_rep3
uaRNA	0.164667985035857	SL_rep3
asRNA	0.31213221816771	2i_rep1
conRNA	0.040071894611005	2i_rep1
daRNA	0.0110735873331032	2i_rep1
intergenic	1.61045328657515	2i_rep1
mRNA	95.9864387872987	2i_rep1
uaRNA	0.0740011517048491	2i_rep1
asRNA	0.275681465680759	2i_rep2
conRNA	0.046730844485246	2i_rep2
daRNA	0.0147375300040138	2i_rep2
intergenic	1.62489619923623	2i_rep2
mRNA	95.9751192900874	2i_rep2
uaRNA	0.0893588085952527	2i_rep2
asRNA	0.190018823242191	mTORi_1d_rep1
conRNA	0.0530290033176535	mTORi_1d_rep1
daRNA	0.0191312038044693	mTORi_1d_rep1
intergenic	1.49102122751282	mTORi_1d_rep1
mRNA	96.1125686125091	mTORi_1d_rep1
uaRNA	0.151384197591649	mTORi_1d_rep1
asRNA	0.199025881208647	mTORi_1d_rep2
conRNA	0.0472620422542638	mTORi_1d_rep2
daRNA	0.0109017188259311	mTORi_1d_rep2
intergenic	1.45069477827647	mTORi_1d_rep2
mRNA	96.210628942133	mTORi_1d_rep2
uaRNA	0.125137583899564	mTORi_1d_rep2
asRNA	0.218107256008581	mTORi_2d_rep1
conRNA	0.0696982396721245	mTORi_2d_rep1
daRNA	0.00600068256390834	mTORi_2d_rep1
intergenic	1.43680916702343	mTORi_2d_rep1
mRNA	96.1041108892832	mTORi_2d_rep1
uaRNA	0.144427472845849	mTORi_2d_rep1
asRNA	0.263016559933718	mTORi_2d_rep2
conRNA	0.0642547307831441	mTORi_2d_rep2
daRNA	0.0055010135498004	mTORi_2d_rep2
intergenic	1.13952083052408	mTORi_2d_rep2
mRNA	96.6135732680921	mTORi_2d_rep2
uaRNA	0.135137080940976	mTORi_2d_rep2
