Chromatin_PolyA	Chromatin_Total	Cytoplasm_PolyA	Cytoplasm_Total	Nucleoplasm_PolyA	Nucleoplasm_Total
ENSMUSG00000000001	5.21767583174499	4.78519466321401	7.09145146054205	6.85601104319544	6.05742496153201	5.96731082140273
ENSMUSG00000000028	5.40649813207833	4.50858259610033	5.74367263564576	6.27121647534808	5.24315488365979	4.78712756085883
ENSMUSG00000000031	0	1.73537383089192	0	0	0	2.03566436678867
ENSMUSG00000000037	3.36682848096981	0.000000231783695808297	4.44298503255903	4.29344289346309	4.09653743531112	3.87263835227697
ENSMUSG00000000056	4.39049064249202	4.67518229440567	5.49772101338977	5.50749000610227	4.78664624797587	4.3903423082991
ENSMUSG00000000058	1.15017995782353	2.01694033620842	0.300439812034666	0	0.347605801775778	1.46526007174926
ENSMUSG00000000078	4.95304352438718	4.67626263237556	5.68766401460606	5.10252161820499	5.00025092907345	4.6603871062217
ENSMUSG00000000085	4.51784577232575	0	4.80958467822979	4.70325941884775	4.26715057069879	4.42894495216594
ENSMUSG00000000088	6.97813152059695	4.90846278206683	7.94591616057195	7.46310420578629	7.87835721554576	7.30645329008044
ENSMUSG00000000093	3.08137202246444	1.84716096982844	1.70369379636496	3.00385245009456	1.79115277131454	0
ENSMUSG00000000094	0	0	0	0	2.0477822074172	2.87771018920102
ENSMUSG00000000120	6.02547553929604	5.38320826087455	5.93740198774871	6.09899232571902	6.66681463821809	6.51311195518802
ENSMUSG00000000125	2.04952295178099	2.91557967531602	2.42010982817909	0	1.92560241147495	1.46526007174926
ENSMUSG00000000127	3.55104321659773	3.26325764838395	5.20423782748438	4.74052424346825	4.3788456042295	4.45613260708901
ENSMUSG00000000131	6.74478976283583	6.15721191096544	7.45189430936591	7.43454762655079	6.88991209488101	6.90531915488919
ENSMUSG00000000134	5.81457667545852	3.4816996458107	7.20055218893539	7.30451584661459	6.43287399153885	5.85484016588848
ENSMUSG00000000142	5.72652864294526	5.49036047493242	6.38109995749485	6.82016167345322	5.99651091885267	6.04292087444158
ENSMUSG00000000148	4.66569579694138	3.37887787820353	5.10085148623882	5.30031692358989	4.62072423472975	4.52803720168928
ENSMUSG00000000149	5.36922386944079	4.64885930092982	6.58366469135365	6.48416401152994	5.91913833969351	5.72027904741649
ENSMUSG00000000167	3.12727019688148	3.07715109297505	1.77081449031589	2.07861230153579	2.86476857652808	3.34571630344077
ENSMUSG00000000168	5.28915682251596	4.71796297021462	6.66591273194857	6.34892777153788	5.78215876836874	5.71040565970901
ENSMUSG00000000171	5.84618099897366	4.30851384849493	7.19760337213452	6.67993478870918	6.44294166553307	6.06471101891008
ENSMUSG00000000182	3.60963079884152	3.72996177902779	2.20391440742524	2.35911025015119	2.57613625209145	2.39662233342898
ENSMUSG00000000183	1.51198858240003	2.32970846263876	0.30484948831471	0	0	1.49910060562754
ENSMUSG00000000184	3.34445439222143	2.98061017895835	3.83275171655758	4.24787042077257	3.31808016118721	3.63852698856807
ENSMUSG00000000194	7.0146537725199	6.55697947413409	6.51543557904917	6.22713945978627	7.25333885429873	7.04603405600726
ENSMUSG00000000197	3.04068751936402	3.35391304147994	2.62411494618965	3.88993406579506	3.53231962923313	3.46601649918873
ENSMUSG00000000204	0.551888100568348	2.41610263328196	0.533044087103129	0	0.82057181044652	0
ENSMUSG00000000214	1.37769688707706	2.97311974296936	0	0	0	0
ENSMUSG00000000223	4.59033023010138	3.95190353568133	3.27550690822233	3.15468292328233	3.74839499388684	3.93944466954446
ENSMUSG00000000244	2.10118486397438	1.52759097129509	2.37585513324094	0	2.54615089234273	3.56159654465672
ENSMUSG00000000247	3.0456481680834	6.36049800159441	3.84128880366464	4.24715795118349	3.03865377456749	3.79457716626481
ENSMUSG00000000248	1.4146580328352	3.26657242032011	1.26344043679954	0	1.18473796535672	0
ENSMUSG00000000253	2.4292284891864	1.83063604420412	3.56513874693392	3.88993406579506	2.85595078283862	3.00172462299025
ENSMUSG00000000263	0	2.58185615765088	0	0	0	0
ENSMUSG00000000266	0	1.9253161634195	0	0	0	1.64839252567632
ENSMUSG00000000275	7.27248374808076	6.36338797448496	7.83857783571062	7.82957940778194	7.33886539924041	7.33657862710084
