speed	lag_time	time_points
ENSMUSG00000025907	0.912	0	2
ENSMUSG00000051285	0.896	9.73102678571426	2
ENSMUSG00000025915	1.36	0	2
ENSMUSG00000056763	1.11164179104478	3.14530075187971	3
ENSMUSG00000067851	0.34676	0	1
ENSMUSG00000016918	1.26767899008115	9.23522750551976	3
ENSMUSG00000025939	1.408	13.0681818181818	2
ENSMUSG00000025931	1.11637355718783	11.0171265452522	3
ENSMUSG00000041779	1.85642	9.04119218711283	3
ENSMUSG00000026158	0.761003584229391	6.80796282341121	3
ENSMUSG00000037503	0.713846153846154	8.6603448275862	3
ENSMUSG00000045216	8e-05	0	1
ENSMUSG00000037470	1.66722633744856	12.732185406053	3
ENSMUSG00000037447	0.32544	0	1
ENSMUSG00000010453	0.5592	0	1
ENSMUSG00000001143	0.608	10.4111842105263	2
ENSMUSG00000037408	1.45460580912863	10.0221902099498	3
ENSMUSG00000001138	0.27868	0	1
ENSMUSG00000067653	0.11764	0	1
ENSMUSG00000103661	0.312	22.9871794871795	2
ENSMUSG00000037351	0.26	0	2
ENSMUSG00000026110	2.06143456090652	8.43676616740398	3
ENSMUSG00000026088	0.377333333333333	0	3
ENSMUSG00000026080	0.866148905109489	6.66091365082789	3
ENSMUSG00000003135	0.272	0	1
ENSMUSG00000060679	0.83872	0	1
ENSMUSG00000070939	1.14057382198953	5.52125870325216	3
ENSMUSG00000066877	2.976	18.4811827956989	2
ENSMUSG00000057363	2.152	13.7551115241636	2
ENSMUSG00000041684	0.598822179732313	3.82135741289465	3
ENSMUSG00000026103	0.84924	0	1
ENSMUSG00000043015	0.38792	0	1
ENSMUSG00000026097	0.45118	0	2
ENSMUSG00000100679	0.4507	0	2
ENSMUSG00000099913	0.432	5.86574074074073	2
ENSMUSG00000026095	0.432	5.66898148148148	2
ENSMUSG00000026094	0.79292	0	1
ENSMUSG00000073678	0.417866666666666	3.12247394171451	3
ENSMUSG00000025981	0.815999999999999	8.82352941176469	2
ENSMUSG00000038323	0.39848	0	1
